,PGAs,acc,psd,resid,accFB,psdFB,residFB,accNoSSI,psdNoSSI,residNoSSI
0,0.1,1.1565471814078423,1.0271613583559553e-05,-8.779560700101298e-07,1.1645515769216808,1.2110051567524271e-08,-5.051133269880147e-12,1.1810538609674417,9.01415059788779e-06,-6.069992522726188e-09
1,0.2,2.989753210220276,0.0010791490507978058,-0.0007511368574151463,2.32875576868727,2.4215830006515452e-08,2.2113219075914398e-12,2.56737452099365,0.00041872422303289547,-0.0003634768786702544
2,0.3,3.3416591894635697,0.005049105159487395,0.0001887630594961992,3.493476691860055,3.631296608926441e-08,7.699288679074405e-12,3.1225770620041504,0.0034589179886760192,-0.002278278995532943
3,0.4,3.6561436973899486,0.013054857185759786,0.0028357698113608753,4.658908338407227,4.84317335537618e-08,-1.2394584172500549e-11,4.415753549292896,0.010431503842968657,0.001815622810727389
4,0.5,3.672604632363106,0.02243675851708432,0.007000690349959921,5.821896801691283,6.05387047910542e-08,-1.4481675178722329e-11,4.527770158144975,0.01911927172962919,0.0054491093494874665
5,0.6,3.703402033992483,0.030330122341575744,0.018755182758970167,6.987027967640694,7.263873119978653e-08,1.3173452162881108e-11,3.9198684572108924,0.02743090526086602,0.016044916727185176
6,0.7,3.915260426306288,0.03245396716172529,0.026723443602262843,8.151427910642907,8.475608018081373e-08,-1.8550988533087944e-11,4.2806996630838,0.03226690344507114,0.027053837867798077
7,0.8,3.705578382619347,0.036690694540921755,0.03667876822718212,9.313893367462247,9.687111835359161e-08,-1.3879719461405195e-11,4.4457030843519565,0.03569309351469671,0.035454015050869675
8,0.9,3.6814756585953003,0.05035042208586797,0.05014514945526174,10.481058748790057,1.0896287721043824e-07,5.500283235017971e-12,4.05696857479433,0.04807210375393681,0.047937833660317654
9,1.0,4.036453045280479,0.07228923110961152,0.04852062901405487,11.644684474147827,1.2107637020254883e-07,1.4169146404052522e-11,4.455763422041493,0.0690242583815268,0.044786441261757036
